take / run a risk;ein Risiko eingehen;Are you a cautious person or do you enjoy taking risks.
afraid of;Angst haben;I'm afraid of flying.
frighten, frightened of;Angst einjagen, ängstigen;I'm frightened of flying. / Flying is frightening. / Flying frightens me.
scare, scared of;Angst einjagen, ängstigen;I'm scared of flying. / Flying is scary. / Flying scares me.
horrify, horrified at/by;entsetzen, schocken;Everyone was horrified by the terrorist attack.
shoot (at sb/sth);schiessen;shoot, shot, shot
drown;ertrinken;Every year, children are drowned in swimming pools.
bacteria;Bakterien;
terrorist attack;Terroristenanschlag;
heart disease;Herzkrankheit;
die of heart disease;an Herzkrankheit sterben;
death from heart disease;Tod wegen Herzkrankheit;
cholesterol;Cholesterin;a high / low level of cholesterol
assess;einschätzen, bewerten;Generally people are bad at assessing risk.
worry about;sich Sorgen machen wegen;worries (noun), worried / worrying (adjective)
fictional;fiktiv;synonym: imaginary
gun;Schusswaffe;keep a gun in a drawer
statistics;Statistik;Statistics show that driving is more dangerous than flying.
be likely to;wahrscheinlich sein;A child is more likely to die in a swimming accident than because of playing with a gun.
unique;einzigartig;There's nothing unique about that sort of thing.
consultant;Berater(in);
rare vs common;selten ? häufig;Mad cow disease is extremely rare, whereas heart disease is quite common.
infect with sth;infizieren, anstecken;We can't tell if your meat is infected. / noun = infection
control;kontrollieren, regulieren;You may control people, but you check homework. / n: control
lack of control;Mangel an Kontrolle;
tend to;zu etwas tendieren;People tend to be scared of short-term dangers. / n: tendency
be at the mercy of;jdm auf Gnade oder Ungnade;Since I have no control of the aeroplane, I am at the mercy of external factors.
;ausgeliefert sein;
external vs internal;extern, von aussen ? intern;external factors ? internal factors
spend time doing sth;Zeit verbringen etwas zu tun;People spend far less time flying than driving
compared with;verglichen mit;
short-term vs long-term;Kurzzeit ? Langzeit;People are more scared of short-term dangers than long-term ones.
probability;Wahrscheinlichkeit;probable (adj), probably (adv)
fat, fatty;Fett, fettig;
distant vs near;fern ? nah;
catastrophe;Katastrophe;synonym: disaster
beyond (our control);über, jenseits von ;
dread;"Furcht; sich fürchten";
horrific;entsetzlich, schrecklich;synonym: horrible / a horrific road accident
equation;mathematische Gleichung;
hazard;Gefahr, Risiko;Smoking is a serious health hazard.
hazardous;gefährlich, riskant;synonym: risky
outrage;Empörung, Entrüstung;When hazard is low and outrage high, people overreact.
outrageous;empörend, unerhört;
overreact vs underreact;überreagieren  ? unterreagieren;When hazard is high but the terror is low, people underreact.
protect from;schützen vor;
according to;laut, gemäss;According to doctors, stress is very bad for our health.
instead (of);anstatt, stattdessen;Instead of flying, she decided to travel by train. / She took the train instead.
